Name;assignment;pH;ref_pH;real_5;
Woodsia;fern;neutral to alkaline;https://www.shootgardening.co.uk/plant/woodsia-obtusa;4;
Woodsia macrochlaena;contaminant;out;out;out;
Woodsia polystichoides;contaminant;out;out;out;
x Festulolium;contaminant;out;out;out;
x Triticosecale;contaminant;out;out;out;
Xanthoceras;contaminant;out;out;out;
Xanthoceras sorbifolium;contaminant;out;out;out;
Zea;contaminant;out;out;out;
Zea mays;contaminant;out;out;out;
Zingeria;contaminant;out;out;out;
Zingeria biebersteiniana;contaminant;out;out;out;
Ziziphus;contaminant;out;out;out;
Ziziphus attopensis;contaminant;out;out;out;
Ziziphus jujuba;contaminant;out;out;out;
