depth	min	max	median	mean
459	12106	13825	13062	13035
460	12138	13872	13101	13073
461	12195	13893	13138	13110
462	12257	13909	13173	13146
463	12318	13927	13210	13183
464	12375	13945	13247	13219
465	12418	13971	13286	13256
466	12453	13992	13324	13292
467	12488	14015	13362	13329
468	12521	14045	13397	13365
469	12555	14073	13434	13401
470	12582	14105	13470	13438
471	12623	14113	13492	13461
472	12674	14123	13513	13484
473	12705	14133	13533	13507
474	12736	14147	13556	13530
475	12765	14161	13581	13553
476	12789	14175	13604	13576
477	12820	14189	13627	13599
478	12851	14204	13647	13622
479	12875	14224	13671	13645
480	12897	14242	13692	13668
481	12929	14250	13707	13684
482	12961	14261	13724	13701
483	12992	14271	13741	13717
484	13012	14281	13757	13734
485	13039	14288	13772	13751
486	13063	14298	13787	13767
487	13087	14309	13801	13784
488	13107	14322	13816	13800
489	13124	14337	13833	13817
490	13136	14350	13850	13834
491	13153	14356	13859	13844
492	13170	14361	13871	13855
493	13182	14370	13882	13866
494	13199	14378	13893	13877
495	13213	14385	13903	13888
496	13229	14392	13912	13899
497	13244	14403	13921	13909
498	13262	14411	13930	13920
499	13274	14420	13939	13931
500	13288	14431	13951	13942
501	13291	14435	13957	13947
502	13296	14439	13960	13951
503	13301	14444	13965	13956
504	13305	14448	13968	13961
505	13310	14452	13972	13966
506	13314	14456	13977	13970
507	13320	14462	13981	13975
508	13325	14466	13987	13980
509	13328	14471	13993	13985
510	13331	14477	13998	13989
510.00002	13331	14477	13998	13989
511	13338	14481	14006	13997
512	13346	14487	14015	14005
513	13352	14491	14024	14013
514	13364	14497	14034	14021
515	13376	14503	14042	14029
516	13388	14509	14052	14037
517	13396	14519	14061	14045
518	13404	14529	14071	14053
519	13410	14537	14078	14061
520	13420	14544	14087	14069
521	13431	14549	14096	14077
522	13446	14554	14104	14085
523	13458	14561	14112	14093
524	13471	14568	14121	14101
525	13482	14575	14129	14109
526	13493	14585	14138	14117
527	13504	14595	14146	14125
528	13513	14605	14154	14133
529	13522	14617	14162	14141
530	13531	14626	14170	14149
